CITY_CODE;CITY_NAME;TOTAL_VOTERS;ISSUED_VOTES;VALID_VOTES;PARTIES
535010;Bìleè;262;181;181;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532070;Bìloky;135;102;101;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
532088;Beøovice;272;152;152;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Svob.a pø.dem.-T.Okamura (SPD)
535125;Bílichov;155;99;99;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532100;Blevice;243;172;171;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532118;Brandısek;1438;894;883;Obèanská demokratická strana|Øád národa - Vlastenecká unie|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532126;Braškov;847;625;619;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)
532142;Bratronice;749;489;487;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532169;Buštìhrad;2508;1645;1639;Obèanská demokratická strana|CESTA ODPOVÌDNÉ SPOLEÈNOSTI|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Obèanská demokratická aliance|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|Èeská strana národnì sociální|REALISTÉ|SPORTOVCI|Dìlnic.str.sociální spravedl.|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532185;Cvrèovice;568;354;353;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532207;Èernuc;810;418;414;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|Referendum o Evropské unii|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
532223;Doksy;1263;811;806;Obèanská demokratická strana|Øád národa - Vlastenecká unie|Èeská str.sociálnì demokrat.|Radostné Èesko|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Obèanská demokratická aliance|Èeská pirátská strana|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|SPORTOVCI|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
513130;Dolany;188;131;129;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|Strana zelenıch|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Èeská pirátská strana|Unie H.A.V.E.L.|TOP 09|ANO 2011|SPR-Republ.str.Èsl. M.Sládka|Køes.demokr.unie-Ès.str.lid.|REALISTÉ|Svob.a pø.dem.-T.Okamura (SPD)|Strana Práv Obèanù
512991;Drnek;141;100;100;Obèanská demokratická strana|Èeská str.sociálnì demokrat.|STAROSTOVÉ A NEZÁVISLÍ|Komunistická str.Èech a Moravy|ROZUMNÍ-stop migraci,diktát.EU|Strana svobodnıch obèanù|Blok proti islam.-Obran.domova|Èeská pirátská strana|TOP 09|ANO 2011|Køes.demokr.unie-Ès.str.lid.|Svob.a pø.dem.-T.Okamura (SPD)
